group,variable,measure,unit,apt_factor_family,use,shock_kind,y1,y2,y3,y4,y5,run1_endY1,run2_endY2_peak,run3_endY3,run4_endY4,run5_endY5
Sector revenues,US average revenue - Financial Services,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.1,-0.11,0.05,0.06,0.05,-0.1,-0.199,-0.15895,-0.108487,-0.063911
Sector revenues,US average revenue - Health Care,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.05,-0.05,0.04,0.05,0.04,-0.05,-0.0975,-0.0614,-0.01447,0.024951
Sector revenues,US average revenue - Industrial,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.1,-0.11,0.11,0.1,0.08,-0.1,-0.199,-0.11089,-0.021979,0.056263
Sector revenues,US average revenue - Materials,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.05,-0.05,0.04,0.05,0.04,-0.05,-0.0975,-0.0614,-0.01447,0.024951
Sector revenues,US average revenue - Real Estate,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.1,-0.11,0.11,0.1,0.08,-0.1,-0.199,-0.11089,-0.021979,0.056263
Sector revenues,US average revenue - Technology,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.1,-0.11,0.05,0.06,0.05,-0.1,-0.199,-0.15895,-0.108487,-0.063911
Sector revenues,US average revenue - Telecom,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),-0.05,-0.05,0.04,0.05,0.04,-0.05,-0.0975,-0.0614,-0.01447,0.024951
Sector revenues,US average revenue - Utilities,Annual change,%,n/a — borrower fundamentals,Engine 2 input,shock (cumulative change vs jump-off),0.05,0.05,-0.01,-0.01,-0.01,0.05,0.1025,0.091475,0.08056,0.069755
Equity prices,FTSE All-Share,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.31,-0.06,0.11,0.11,0.13,-0.31,-0.3514,-0.280054,-0.20086,-0.096972
Equity prices,FTSE 350,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.31,-0.06,0.11,0.11,0.13,-0.31,-0.3514,-0.280054,-0.20086,-0.096972
Equity prices,FTSE 350 - Consumer Discretionary,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.35,-0.08,0.15,0.13,0.15,-0.35,-0.402,-0.3123,-0.222899,-0.106334
Equity prices,FTSE 350 - Consumer Staples,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.3,-0.07,0.11,0.1,0.13,-0.3,-0.349,-0.27739,-0.205129,-0.101796
Equity prices,FTSE 350 - Energy,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),0.14,0.05,0.02,0.02,0.05,0.14,0.197,0.22094,0.245359,0.307627
Equity prices,FTSE 350 - Financial Services,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.41,-0.15,0.18,0.14,0.15,-0.41,-0.4985,-0.40823,-0.325382,-0.22419
Equity prices,FTSE 350 - Health Care,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.3,-0.07,0.11,0.1,0.13,-0.3,-0.349,-0.27739,-0.205129,-0.101796
Equity prices,FTSE 350 - Industrial,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.41,-0.15,0.26,0.19,0.2,-0.41,-0.4985,-0.36811,-0.248051,-0.097661
Equity prices,FTSE 350 - Materials,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.33,-0.03,0.08,0.11,0.13,-0.33,-0.3501,-0.298108,-0.2209,-0.119617
Equity prices,FTSE 350 - Real Estate,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.44,-0.11,0.22,0.21,0.22,-0.44,-0.5016,-0.391952,-0.264262,-0.1024
Equity prices,FTSE 350 - Technology,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.44,-0.11,0.12,0.16,0.15,-0.44,-0.5016,-0.441792,-0.352479,-0.255351
Equity prices,FTSE 350 - Telecom,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.31,-0.06,0.11,0.1,0.11,-0.31,-0.3514,-0.280054,-0.208059,-0.120946
Equity prices,FTSE 350 - Utilities,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),0.03,0.02,0.04,0.03,0.04,0.03,0.0506,0.092624,0.125403,0.170419
Equity prices,S&P 500,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.36,-0.06,0.12,0.12,0.13,-0.36,-0.3984,-0.326208,-0.245353,-0.147249
Equity prices,S&P 500 - Consumer Discretionary,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.42,-0.05,0.18,0.18,0.19,-0.42,-0.449,-0.34982,-0.232788,-0.087017
Equity prices,S&P 500 - Consumer Staples,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.28,-0.03,0.06,0.07,0.08,-0.28,-0.3016,-0.259696,-0.207875,-0.144505
Equity prices,S&P 500 - Energy,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),0.3,0.12,0.0,0.01,0.04,0.3,0.456,0.456,0.47056,0.529382
Equity prices,S&P 500 - Financial Services,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.44,-0.11,0.16,0.14,0.17,-0.44,-0.5016,-0.421856,-0.340916,-0.228872
Equity prices,S&P 500 - Health Care,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.28,-0.03,0.06,0.07,0.08,-0.28,-0.3016,-0.259696,-0.207875,-0.144505
Equity prices,S&P 500 - Industrial,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.36,-0.06,0.15,0.16,0.16,-0.36,-0.3984,-0.30816,-0.197466,-0.06906
Equity prices,S&P 500 - Materials,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.3,0.0,0.03,0.07,0.09,-0.3,-0.3,-0.279,-0.22853,-0.159098
Equity prices,S&P 500 - Real Estate,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.42,-0.05,0.18,0.18,0.19,-0.42,-0.449,-0.34982,-0.232788,-0.087017
Equity prices,S&P 500 - Technology,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.43,-0.12,0.16,0.16,0.15,-0.43,-0.4984,-0.418144,-0.325047,-0.223804
Equity prices,S&P 500 - Telecom,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),-0.35,-0.08,0.12,0.09,0.12,-0.35,-0.402,-0.33024,-0.269962,-0.182357
Equity prices,S&P 500 - Utilities,Annual change,%,Equity index / industry factor,APT factor,shock (cumulative change vs jump-off),0.01,0.04,0.02,0.02,0.04,0.01,0.0504,0.071408,0.092836,0.13655
Equity prices,CBOE Volatility Index,Annual average level,Units,Volatility factor (VIX),APT factor,stressed LEVEL (subtract jump-off),40.0,25.0,25.0,25.0,20.0,40.0,25.0,25.0,25.0,20.0
Equity multiples,UK EV/EBITDA - Aggregate,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.26,0.04,0.04,0.03,0.03,-0.26,-0.2304,-0.199616,-0.175604,-0.150873
Equity multiples,UK EV/EBITDA - Consumer Discretionary,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.25,0.03,0.03,0.03,0.03,-0.25,-0.2275,-0.204325,-0.180455,-0.155868
Equity multiples,UK EV/EBITDA - Consumer Staples,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.25,0.0,0.05,0.05,0.04,-0.25,-0.25,-0.2125,-0.173125,-0.14005
Equity multiples,UK EV/EBITDA - Energy,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.1025,0.157625
Equity multiples,UK EV/EBITDA - Financial Services,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.32,0.0,0.08,0.08,0.07,-0.32,-0.32,-0.2656,-0.206848,-0.151327
Equity multiples,UK EV/EBITDA - Health Care,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.25,0.0,0.05,0.05,0.04,-0.25,-0.25,-0.2125,-0.173125,-0.14005
Equity multiples,UK EV/EBITDA - Industrial,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.32,0.0,0.08,0.07,0.07,-0.32,-0.32,-0.2656,-0.214192,-0.159185
Equity multiples,UK EV/EBITDA - Materials,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.28,0.05,0.04,0.04,0.04,-0.28,-0.244,-0.21376,-0.18231,-0.149603
Equity multiples,UK EV/EBITDA - Real Estate,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.36,0.07,0.07,0.06,0.06,-0.36,-0.3152,-0.267264,-0.2233,-0.176698
Equity multiples,UK EV/EBITDA - Technology,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.36,0.07,0.07,0.06,0.06,-0.36,-0.3152,-0.267264,-0.2233,-0.176698
Equity multiples,UK EV/EBITDA - Telecom,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.26,0.04,0.04,0.03,0.03,-0.26,-0.2304,-0.199616,-0.175604,-0.150873
Equity multiples,UK EV/EBITDA -  Utilities,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.01,0.0,0.05,0.05,0.04,-0.01,-0.01,0.0395,0.091475,0.135134
Equity multiples,US EV/EBITDA - Aggregate,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.32,0.04,0.04,0.04,0.04,-0.32,-0.2928,-0.264512,-0.235092,-0.204496
Equity multiples,US EV/EBITDA - Consumer Discretionary,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.33,0.07,0.07,0.06,0.06,-0.33,-0.2831,-0.232917,-0.186892,-0.138106
Equity multiples,US EV/EBITDA - Consumer Staples,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.23,0.02,0.02,0.02,0.01,-0.23,-0.2146,-0.198892,-0.18287,-0.174699
Equity multiples,US EV/EBITDA - Energy,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),0.04,0.0,0.05,0.05,0.05,0.04,0.04,0.092,0.1466,0.20393
Equity multiples,US EV/EBITDA - Financial Services,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.36,0.08,0.07,0.07,0.06,-0.36,-0.3088,-0.260416,-0.208645,-0.161164
Equity multiples,US EV/EBITDA - Health Care,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.23,0.02,0.02,0.02,0.01,-0.23,-0.2146,-0.198892,-0.18287,-0.174699
Equity multiples,US EV/EBITDA - Industrial,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.26,0.04,0.04,0.04,0.04,-0.26,-0.2304,-0.199616,-0.167601,-0.134305
Equity multiples,US EV/EBITDA - Materials,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.25,0.02,0.02,0.02,0.02,-0.25,-0.235,-0.2197,-0.204094,-0.188176
Equity multiples,US EV/EBITDA - Real Estate,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.33,0.07,0.07,0.06,0.06,-0.33,-0.2831,-0.232917,-0.186892,-0.138106
Equity multiples,US EV/EBITDA - Technology,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.34,0.07,0.07,0.06,0.06,-0.34,-0.2938,-0.244366,-0.199028,-0.15097
Equity multiples,US EV/EBITDA - Telecom,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.3,-0.01,0.05,0.05,0.04,-0.3,-0.307,-0.27235,-0.235967,-0.205406
Equity multiples,US EV/EBITDA - Utilities,Annual change,%,n/a — valuation multiple,Engine 2 input (LTV / equity cushion),shock (cumulative change vs jump-off),-0.07,0.0,0.04,0.04,0.04,-0.07,-0.07,-0.0328,0.005888,0.046124
Leveraged loan indices (LLIs),Morningstar LSTA US Leveraged Loan price index,Annual change,%,Loan price index,Cross-check vs FRN revaluation,shock (cumulative change vs jump-off),-0.28,-0.1,0.11,0.11,0.11,-0.28,-0.352,-0.28072,-0.201599,-0.113775
Leveraged loan indices (LLIs),Morningstar LSTA US BB Ratings Loan price index,Annual change,%,Loan price index,Cross-check vs FRN revaluation,shock (cumulative change vs jump-off),-0.23,-0.06,0.1,0.1,0.1,-0.23,-0.2762,-0.20382,-0.124202,-0.036622
Leveraged loan indices (LLIs),Morningstar European Leveraged Loan price index,Annual change,%,Loan price index,Cross-check vs FRN revaluation,shock (cumulative change vs jump-off),-0.28,-0.1,0.11,0.11,0.11,-0.28,-0.352,-0.28072,-0.201599,-0.113775
Leveraged loan indices (LLIs),Morningstar European BB Ratings Loan price index,Annual change,%,Loan price index,Cross-check vs FRN revaluation,shock (cumulative change vs jump-off),-0.23,-0.06,0.1,0.1,0.1,-0.23,-0.2762,-0.20382,-0.124202,-0.036622
Leveraged loan indices (LLIs),Morningstar LSTA US Leveraged Loan nominal spread,Annual change,Basis points,Loan/HY spread factor — PC expansion anchor,APT factor,shock (cumulative change vs jump-off),200.0,200.0,-100.0,-100.0,-100.0,200.0,400.0,300.0,200.0,100.0
Leveraged loan indices (LLIs),Morningstar LSTA US BB Ratings Loan nominal spread,Annual change,Basis points,Loan/HY spread factor — PC expansion anchor,APT factor,shock (cumulative change vs jump-off),200.0,200.0,-100.0,-100.0,-100.0,200.0,400.0,300.0,200.0,100.0
Leveraged loan indices (LLIs),Morningstar European Leveraged Loan nominal spread,Annual change,Basis points,Loan/HY spread factor — PC expansion anchor,APT factor,shock (cumulative change vs jump-off),200.0,200.0,-100.0,-100.0,-100.0,200.0,400.0,300.0,200.0,100.0
Leveraged loan indices (LLIs),Morningstar European BB Ratings Loan nominal spread,Annual change,Basis points,Loan/HY spread factor — PC expansion anchor,APT factor,shock (cumulative change vs jump-off),200.0,200.0,-100.0,-100.0,-100.0,200.0,400.0,300.0,200.0,100.0
Collateralised loan obligations (CLOs),J.P. Morgan AAA CLO price index,Annual change,%,Securitised/CLO factor,APT factor,shock (cumulative change vs jump-off),-0.13,-0.05,0.05,0.05,0.04,-0.13,-0.1735,-0.132175,-0.088784,-0.052335
Credit default swaps (CDS),iTraxx EUR IG 5Y CDS spread,Annual change,Basis points,CDS spread factor,APT factor (hedge legs),shock (cumulative change vs jump-off),100.0,110.0,-50.0,-60.0,-50.0,100.0,210.0,160.0,100.0,50.0
Credit default swaps (CDS),iTraxx XOVER 5Y CDS spread,Annual change,Basis points,CDS spread factor,APT factor (hedge legs),shock (cumulative change vs jump-off),470.0,400.0,-200.0,-200.0,-200.0,470.0,870.0,670.0,470.0,270.0
